"TOA5","Station","CR1000","12345","CR1000.Std.25","CPU:Gibberish.CR1","54321","Daily"
"TIMESTAMP","RECORD","Batt_Min","Rain_Tot","AirT_Max","AirT_TMx","AirT_Min","AirT_TMn","RH_Max","RH_TMx","RH_Min","RH_TMn","BaromPres_Max","BaromPres_TMx","BaromPres_Min","BaromPres_TMn","SlrkW_Max","SlrkW_TMx","SlrMJ_Max","SlrMJ_TMx","WaterT_Max","WaterT_TMx","WaterLvl_Min","WaterLvl_TMn"
"TS","RN","Volts","mm","Deg C","Deg C","Deg C","Deg C","%","%","%","%","mmHg","mmHg","mmHg","mmHg","kW/m^2","kW/m^2","MJ/m^2","MJ/m^2","Deg C","Deg C","Ft","Ft"
"","","Min","Tot","Max","TMx","Min","TMn","Max","TMx","Min","TMn","Max","TMx","Min","TMn","Max","TMx","Max","TMx","Max","TMx","Min","TMn"
"2014-04-11 00:00:00",0,13.04,0,17,"2014-04-10 17:15:00",2.432,"2014-04-10 23:45:00",81.4,"2014-04-10 23:15:00",23.88,"2014-04-10 17:15:00",730,"2014-04-10 21:45:00",728,"2014-04-10 13:45:00",0.872,"2014-04-10 13:30:00",0.026,"2014-04-10 13:30:00",17.91,"2014-04-10 17:00:00",0.559,"2014-04-10 23:45:00"
"2014-04-12 00:00:00",1,12.98,0,19.8,"2014-04-11 16:00:00",2.839,"2014-04-11 00:15:00",78.69,"2014-04-11 00:15:00",25.55,"2014-04-11 16:15:00",730.5,"2014-04-11 12:30:00",726.8,"2014-04-11 23:45:00",0.865,"2014-04-11 13:30:00",0.026,"2014-04-11 13:30:00",22.13,"2014-04-11 16:15:00",0.543,"2014-04-11 23:30:00"
"2014-04-13 00:00:00",2,13,0.508,19.4,"2014-04-12 14:30:00",6.966,"2014-04-12 07:15:00",90.7,"2014-04-13 00:00:00",47.23,"2014-04-12 14:30:00",726.6,"2014-04-12 00:15:00",722.4,"2014-04-12 16:30:00",0.927,"2014-04-12 13:45:00",0.028,"2014-04-12 13:45:00",22.29,"2014-04-12 16:15:00",0.528,"2014-04-13 00:00:00"
"2014-04-14 00:00:00",3,12.98,0,7.738,"2014-04-13 00:15:00",-1.427,"2014-04-13 23:45:00",97,"2014-04-13 05:45:00",62.74,"2014-04-13 16:30:00",731.8,"2014-04-14 00:00:00",724.7,"2014-04-13 00:15:00",0.311,"2014-04-13 13:30:00",0.009,"2014-04-13 13:30:00",11.03,"2014-04-13 00:15:00",0.511,"2014-04-13 20:15:00"
"2014-04-15 00:00:00",4,12.91,0,3.379,"2014-04-14 14:00:00",-5.229,"2014-04-15 00:00:00",75.14,"2014-04-14 22:30:00",25.61,"2014-04-14 14:00:00",735.9,"2014-04-15 00:00:00",731.7,"2014-04-14 01:00:00",1.029,"2014-04-14 14:00:00",0.031,"2014-04-14 14:00:00",7.956,"2014-04-14 13:30:00",0.507,"2014-04-14 09:45:00"
"2014-04-16 00:00:00",5,12.86,0,5.829,"2014-04-15 16:15:00",-9.71,"2014-04-15 06:00:00",85,"2014-04-15 06:15:00",24.18,"2014-04-15 16:45:00",736.4,"2014-04-15 07:30:00",728.6,"2014-04-16 00:00:00",0.896,"2014-04-15 13:15:00",0.027,"2014-04-15 13:15:00",9.63,"2014-04-15 15:15:00",0.499,"2014-04-15 09:45:00"
"2014-04-17 00:00:00",6,12.93,10.41,5.034,"2014-04-16 12:30:00",-2.031,"2014-04-16 23:45:00",98.9,"2014-04-16 17:15:00",55.96,"2014-04-16 00:15:00",728.7,"2014-04-16 00:15:00",721.8,"2014-04-17 00:00:00",0.139,"2014-04-16 11:30:00",0.004,"2014-04-16 11:30:00",3.27,"2014-04-16 12:45:00",0.497,"2014-04-16 09:15:00"
"2014-04-18 00:00:00",7,12.74,0,5.255,"2014-04-17 16:45:00",-1.46,"2014-04-17 22:45:00",94.5,"2014-04-17 23:30:00",57.48,"2014-04-17 18:00:00",739.1,"2014-04-17 23:15:00",738.4,"2014-04-17 18:15:00",0.871,"2014-04-17 14:30:00",0.026,"2014-04-17 14:30:00",9.68,"2014-04-17 17:45:00",0.532,"2014-04-18 00:00:00"
"2014-04-19 00:00:00",8,12.73,0,15.66,"2014-04-18 17:45:00",-1.39,"2014-04-18 00:15:00",96,"2014-04-18 00:30:00",40.61,"2014-04-18 18:00:00",739,"2014-04-18 01:30:00",732,"2014-04-19 00:00:00",0.865,"2014-04-18 13:15:00",0.026,"2014-04-18 13:15:00",15.51,"2014-04-18 16:45:00",0.52,"2014-04-18 17:00:00"
"2014-04-20 00:00:00",9,12.84,0,24.16,"2014-04-19 14:30:00",7.704,"2014-04-19 03:15:00",79.42,"2014-04-20 00:00:00",35.96,"2014-04-19 14:30:00",732,"2014-04-19 03:15:00",729.2,"2014-04-19 06:15:00",0.994,"2014-04-19 14:30:00",0.03,"2014-04-19 14:30:00",23.38,"2014-04-19 15:30:00",0.498,"2014-04-20 00:00:00"
